2017-02-19,8906020460010,7
2017-01-15,8906020460010,7
2017-03-25,8906020460010,3
2017-02-24,8906020460010,4
2017-03-14,8906020460010,6
2017-01-19,8906020460010,11
2017-01-09,8906020460010,7
2017-02-12,8906020460010,8
2017-02-23,8906020460010,13
2017-03-09,8906020460010,7
2017-03-23,8906020460010,4
2017-01-27,8906020460010,5
2017-03-27,8906020460010,3
2017-02-21,8906020460010,3
2017-02-17,8906020460010,8
2017-02-14,8906020460010,4
2017-02-03,8906020460010,11
2017-01-31,8906020460010,3
2017-01-30,8906020460010,9
2017-02-27,8906020460010,9
2017-03-24,8906020460010,10
2017-01-20,8906020460010,7
2017-03-03,8906020460010,9
2017-02-11,8906020460010,6
2017-02-10,8906020460010,5
2017-02-09,8906020460010,9
2017-01-29,8906020460010,10
2017-03-10,8906020460010,5
2017-01-03,8906020460010,9
2017-02-13,8906020460010,10
2017-03-02,8906020460010,7
2017-02-07,8906020460010,6
2017-02-18,8906020460010,11
2017-01-01,8906020460010,8
2017-02-25,8906020460010,12
2017-01-02,8906020460010,5
2017-01-05,8906020460010,3
2017-03-28,8906020460010,7
